nama	hospital	address	keyword	keyword1	keyword2	keyword3	keyword4	keyword5	keyword6	keyword7	keyword8	keyword9	keyword10	keyword11	keyword12
Enrekang	RS Umum Daerah Massenrempulu Enrekang	Jl. Jend Sudirman Keppe Enrekang	RS Umum Daerah Massenrempulu Enrekang Enrekang	RS	Umum	Daerah	Massenrempulu	Enrekang	Enrekang						
Kota Jakarta Timur	RS Umum Daerah Matraman	Jl. Kebon kelapa raya no. 29 kel. Utan kayu selatan kec. Matraman	RS Umum Daerah Matraman Kota Jakarta Timur	RS	Umum	Daerah	Matraman	Kota	Jakarta	Timur					
Lampung Utara	RS Umum Daerah May Jen HM Ryacudu	Jl. Jend.Sudirman No.2 Kotabumi	RS Umum Daerah May Jen HM Ryacudu Lampung Utara	RS	Umum	Daerah	May	Jen	HM	Ryacudu	Lampung	Utara			
Tulang Bawang	RS Umum Daerah Menggala Tulang Bawang	Menggala,Kab.Tulang Bawang	RS Umum Daerah Menggala Tulang Bawang Tulang Bawang	RS	Umum	Daerah	Menggala	Tulang	Bawang	Tulang	Bawang				
Kota Solok	RS Umum Daerah Mohammad Natsir	Jl. Simpang Rumbio,Solok	RS Umum Daerah Mohammad Natsir Kota Solok	RS	Umum	Daerah	Mohammad	Natsir	Kota	Solok					
Buol	RS Umum Daerah Mokoyurli Buol	Jln. DR. Wahidin Sudirohusodo No.12 Kel. Leok II Kec. Biau	RS Umum Daerah Mokoyurli Buol Buol	RS	Umum	Daerah	Mokoyurli	Buol	Buol						
Morowali	RS Umum Daerah Morowali	Jl. Trans Sulawesi Fonuasingko Bungku	RS Umum Daerah Morowali Morowali	RS	Umum	Daerah	Morowali	Morowali							
Musi Rawas	RS Umum Daerah Muara Beliti	Jl. Poros Agropolitan Center	RS Umum Daerah Muara Beliti Musi Rawas	RS	Umum	Daerah	Muara	Beliti	Musi	Rawas					
Solok Selatan	RS Umum Daerah Muara Labuh	Jl. Raya Km.1 Muara Labuh Padang Aro	RS Umum Daerah Muara Labuh Solok Selatan	RS	Umum	Daerah	Muara	Labuh	Solok	Selatan					
Mukomuko	RS Umum Daerah Mukomuko	Jl. Danau Nibung Desa Kota Praja Kecamatan Air Manjunto Kabupaten Mukomuko Provinsi Bengkulu	RS Umum Daerah Mukomuko Mukomuko	RS	Umum	Daerah	Mukomuko	Mukomuko							
Magelang	RS Umum Daerah Muntilan Kab. Magelang	Jl. Kartini No.13 Muntilan	RS Umum Daerah Muntilan Kab. Magelang Magelang	RS	Umum	Daerah	Muntilan	Kab.	Magelang	Magelang					
Indramayu	RS Umum Daerah Mursid Ibnu Syafiuddin	Jl. Raya Krangkeng Km. 28 Kecamatan Krangkeng	RS Umum Daerah Mursid Ibnu Syafiuddin Indramayu	RS	Umum	Daerah	Mursid	Ibnu	Syafiuddin	Indramayu					
Kota Mataram	RS Umum Daerah NTB	Jl. Prabu Rangkasari Dasan Cermen	RS Umum Daerah NTB Kota Mataram	RS	Umum	Daerah	NTB	Kota	Mataram						
Jembrana	RS Umum Daerah Negara	Jl. Wijaya Kusuma 17 Negara	RS Umum Daerah Negara Jembrana	RS	Umum	Daerah	Negara	Jembrana							
Nganjuk	RS Umum Daerah Nganjuk	Jl. Dr. Sutomo 62, Nganjuk	RS Umum Daerah Nganjuk Nganjuk	RS	Umum	Daerah	Nganjuk	Nganjuk							
Lamongan	RS Umum Daerah Ngimbang	Jl. Raya Babat-Jombang No.227 Sendangrejo Kec. Ngimbang Kab. Lamongan	RS Umum Daerah Ngimbang Lamongan	RS	Umum	Daerah	Ngimbang	Lamongan							
Blitar	RS Umum Daerah Ngudi Waluyo Wlingi	Jl. Dr. Sucipto No. 5 Wlingi	RS Umum Daerah Ngudi Waluyo Wlingi Blitar	RS	Umum	Daerah	Ngudi	Waluyo	Wlingi	Blitar					
Kulon Progo	RS Umum Daerah Nyi Ageng Serang	Jl Sentolo - Muntilan KM 0,3	RS Umum Daerah Nyi Ageng Serang Kulon Progo	RS	Umum	Daerah	Nyi	Ageng	Serang	Kulon	Progo				
Kota Gorontalo	RS Umum Daerah Otanaha	Jl. Rambutan No. 413 Kel. Buladu	RS Umum Daerah Otanaha Kota Gorontalo	RS	Umum	Daerah	Otanaha	Kota	Gorontalo						
Kota Padang Panjang	RS Umum Daerah Padang Panjang	Jl. Tabek Gadang Kelurahan Ganting Kec.Padang Panjang Timur Kota Padang Panjang	RS Umum Daerah Padang Panjang Kota Padang Panjang	RS	Umum	Daerah	Padang	Panjang	Kota	Padang	Panjang				
Kota Padangsidimpuan	RS Umum Daerah Padang Sidempuan	Jl Dr. F.L. Tobing No. 10,Padangsidimpuan	RS Umum Daerah Padang Sidempuan Kota Padangsidimpuan	RS	Umum	Daerah	Padang	Sidempuan	Kota	Padangsidimpuan					
Kota Jakarta Utara	RS Umum Daerah Pademangan	Jl. Budi Mulia Raya No.2 Pademangan Barat	RS Umum Daerah Pademangan Kota Jakarta Utara	RS	Umum	Daerah	Pademangan	Kota	Jakarta	Utara					
Cianjur	RS Umum Daerah Pagelaran	JL.Raya Pagelaran No 18 Desa Pagelaran Kec. Pagelaran Kab. Cianjur 43266	RS Umum Daerah Pagelaran Cianjur	RS	Umum	Daerah	Pagelaran	Cianjur							
Tangerang	RS Umum Daerah Pakuhaji	Jl. KH. Sa'adullah No. 88 Kelurahan Pakuhaji Kabupaten Tangerang	RS Umum Daerah Pakuhaji Tangerang	RS	Umum	Daerah	Pakuhaji	Tangerang							
Sukabumi	RS Umum Daerah Palabuhanratu	Jl. Ahmad Yani No.2 Palabuhanratu	RS Umum Daerah Palabuhanratu Sukabumi	RS	Umum	Daerah	Palabuhanratu	Sukabumi							
Kota Palembang	RS Umum Daerah Palembang Bari	Jl. Panca Usaha No.1 Kel. 5 ulu Seb. Ulu I, PALEMBANG	RS Umum Daerah Palembang Bari Kota Palembang	RS	Umum	Daerah	Palembang	Bari	Kota	Palembang					
Hulu Sungai Utara	RS Umum Daerah Pambalah Batung	Jl. Jenderal Basuki Rahmat No. 1 Amuntai	RS Umum Daerah Pambalah Batung Hulu Sungai Utara	RS	Umum	Daerah	Pambalah	Batung	Hulu	Sungai	Utara				
Garut	RS Umum Daerah Pameungpeuk Prov. Jabar	Jl. Raya Miramareu No 99 Desa Sirnabakti Kec. Pameungpeuk	RS Umum Daerah Pameungpeuk Prov. Jabar Garut	RS	Umum	Daerah	Pameungpeuk	Prov.	Jabar	Garut					
Tapanuli Tengah	RS Umum Daerah Pandan	Jl. Dr. FL. Tobing No. 05 Pandan	RS Umum Daerah Pandan Tapanuli Tengah	RS	Umum	Daerah	Pandan	Tapanuli	Tengah						
Boyolali	RS Umum Daerah Pandan Arang Boyolali	Jl. Kantil No. 14 Boyolali	RS Umum Daerah Pandan Arang Boyolali Boyolali	RS	Umum	Daerah	Pandan	Arang	Boyolali	Boyolali					
Pangandaran	RS Umum Daerah Pandega Pangandaran	Jl. Merdeka Desa Pananjung Kec.Pangandaran Kab. Pangandaran	RS Umum Daerah Pandega Pangandaran Pangandaran	RS	Umum	Daerah	Pandega	Pangandaran	Pangandaran						
Bantul	RS Umum Daerah Panembahan Senopati	Jl Dr. Wahidin Sudiro Husodo Bantul	RS Umum Daerah Panembahan Senopati Bantul	RS	Umum	Daerah	Panembahan	Senopati	Bantul						
Paser	RS Umum Daerah Panglima Sebaya	Jl. Kusuma Bangsa KM.5 Tanah Grogot	RS Umum Daerah Panglima Sebaya Paser	RS	Umum	Daerah	Panglima	Sebaya	Paser						
Purbalingga	RS Umum Daerah Panti Nugroho	Jl. Soekarno Hatta KM 2, Karang Manyar, Kalimanah, Purbalingga	RS Umum Daerah Panti Nugroho Purbalingga	RS	Umum	Daerah	Panti	Nugroho	Purbalingga						
Simalungun	RS Umum Daerah Parapat	Jl Kolonel TPR Sinaga Parapat	RS Umum Daerah Parapat Simalungun	RS	Umum	Daerah	Parapat	Simalungun							
Kota Pariaman	RS Umum Daerah Pariaman	Jl. Prof M Yamin SH No 5, Desa Kampung Baru, Kecamatan Pariaman Tengah	RS Umum Daerah Pariaman Kota Pariaman	RS	Umum	Daerah	Pariaman	Kota	Pariaman						
Pasaman Barat	RS Umum Daerah Pasaman Barat	Jl. Jenderal Sudirman, Simpang Ampek, Pasaman Barat	RS Umum Daerah Pasaman Barat Pasaman Barat	RS	Umum	Daerah	Pasaman	Barat	Pasaman	Barat					
Kota Jakarta Selatan	RS Umum Daerah Pasar Minggu	JL. TB. SIMATUPANG NO. 1 KELURAHAN RAGUNAN, KECAMATAN PASAR MINGGU - JAKARTA SELATAN	RS Umum Daerah Pasar Minggu Kota Jakarta Selatan	RS	Umum	Daerah	Pasar	Minggu	Kota	Jakarta	Selatan				
Kota Jakarta Timur	RS Umum Daerah Pasar Rebo	Jl. TB Simatupang No.30	RS Umum Daerah Pasar Rebo Kota Jakarta Timur	RS	Umum	Daerah	Pasar	Rebo	Kota	Jakarta	Timur				
Lumajang	RS Umum Daerah Pasirian Kabupaten Lumajang	Jl. Raya Pasirian No. 225A. Kec. Pasirian	RS Umum Daerah Pasirian Kabupaten Lumajang Lumajang	RS	Umum	Daerah	Pasirian	Kabupaten	Lumajang	Lumajang					
Lombok Barat	RS Umum Daerah Patut Patuh Patju	Jl. H. Lalu Anggrat BA No. 2 Gerung	RS Umum Daerah Patut Patuh Patju Lombok Barat	RS	Umum	Daerah	Patut	Patuh	Patju	Lombok	Barat				
Donggala	RS Umum Daerah Pendau Tambu Kab Donggala	Jl. Mapane Tambu. Kec. Baselang	RS Umum Daerah Pendau Tambu Kab Donggala Donggala	RS	Umum	Daerah	Pendau	Tambu	Kab	Donggala	Donggala				
Simalungun	RS Umum Daerah Perdagangan	Jl Radjadmin Purba, SH. Perdagangan	RS Umum Daerah Perdagangan Simalungun	RS	Umum	Daerah	Perdagangan	Simalungun							
Kota Jakarta Selatan	RS Umum Daerah Pesanggrahan	Jalan Cenek I no. 1 Pesanggrahan	RS Umum Daerah Pesanggrahan Kota Jakarta Selatan	RS	Umum	Daerah	Pesanggrahan	Kota	Jakarta	Selatan					
Pesawaran	RS Umum Daerah Pesawaran	Jln. Raya Kedondong, Sukamarga, Desa Gedong Tataan Kec. Gedong Tataan, kab. Pesawaran	RS Umum Daerah Pesawaran Pesawaran	RS	Umum	Daerah	Pesawaran	Pesawaran							
Jombang	RS Umum Daerah Ploso	Jl. Darmo Sugondo No.83 Rejoagung-Ploso	RS Umum Daerah Ploso Jombang	RS	Umum	Daerah	Ploso	Jombang							
Polewali Mandar	RS Umum Daerah Polewali	Jl. Dr Ratulangi No. 50 Polewali	RS Umum Daerah Polewali Polewali Mandar	RS	Umum	Daerah	Polewali	Polewali	Mandar						
Toba Samosir	RS Umum Daerah Porsea	Jl Raja Sipakko Napitulu, Ds. Parparean, Kec. Porsea, Kab. Toba Samosir	RS Umum Daerah Porsea Toba Samosir	RS	Umum	Daerah	Porsea	Toba	Samosir						
Sleman	RS Umum Daerah Prambanan	Jl Prambanan Piyungan Km.7, Delegan, Sumberharjo, Prambanan, Sleman	RS Umum Daerah Prambanan Sleman	RS	Umum	Daerah	Prambanan	Sleman							
Tojo Una-Una	RS Umum Daerah Pratama Togean	Desa Wakai Kec. Una-una Kab. Tojo Una-una	RS Umum Daerah Pratama Togean Tojo Una-Una	RS	Umum	Daerah	Pratama	Togean	Tojo	Una-Una					
Kebumen	RS Umum Daerah Prembun	Jl. Slamet Riyadi No. 53 Prembun Kebumen	RS Umum Daerah Prembun Kebumen	RS	Umum	Daerah	Prembun	Kebumen							
Pringsewu	RS Umum Daerah Pringsewu	Jl. Lintas Barat Pekon Fajar Agung Barat Kec. Pringsewu	RS Umum Daerah Pringsewu Pringsewu	RS	Umum	Daerah	Pringsewu	Pringsewu							
Kota Gorontalo	RS Umum Daerah Prof Dr. H. Aloei Saboe	Jl. Prof. Dr. H. Aloei Saboe	RS Umum Daerah Prof Dr. H. Aloei Saboe Kota Gorontalo	RS	Umum	Daerah	Prof	Dr.	H.	Aloei	Saboe	Kota	Gorontalo		
Banyumas	RS Umum Daerah Prof Dr. Margono Soekarjo	Jl. Dr Gumbreg No. 1 Purwokerto	RS Umum Daerah Prof Dr. Margono Soekarjo Banyumas	RS	Umum	Daerah	Prof	Dr.	Margono	Soekarjo	Banyumas				
Sarolangun	RS Umum Daerah Prof. Dr. H. Chatib Quzwain	Jl. Lintas Sumatera Km.09 Desa Bukit, Sarolangun	RS Umum Daerah Prof. Dr. H. Chatib Quzwain Sarolangun	RS	Umum	Daerah	Prof.	Dr.	H.	Chatib	Quzwain	Sarolangun			
Mojokerto	RS Umum Daerah Prof. Dr. Soekandar	Jl. Hayam Wuruk 25 Mojosari Kab. Mojokerto	RS Umum Daerah Prof. Dr. Soekandar Mojokerto	RS	Umum	Daerah	Prof.	Dr.	Soekandar	Mojokerto					
Mamuju	RS Umum Daerah Provinsi Sulawesi Barat	Jl. RE. Marthadinata	RS Umum Daerah Provinsi Sulawesi Barat Mamuju	RS	Umum	Daerah	Provinsi	Sulawesi	Barat	Mamuju					
Pulang Pisau	RS Umum Daerah Pulang Pisau	Jl. W.A.D Duha Komplek Perkantoran Kab. Pulang Pisau Provinsi Kalimantan Tengah	RS Umum Daerah Pulang Pisau Pulang Pisau	RS	Umum	Daerah	Pulang	Pisau	Pulang	Pisau					
Murung Raya	RS Umum Daerah Puruk Cahu	Jl. A. Yani No. 497, Puruk Cahu	RS Umum Daerah Puruk Cahu Murung Raya	RS	Umum	Daerah	Puruk	Cahu	Murung	Raya					
Jepara	RS Umum Daerah R. A. Kartini	Jl. K.H. Wahid Hasyim Jepara	RS Umum Daerah R. A. Kartini Jepara	RS	Umum	Daerah	R.	A.	Kartini	Jepara					
Tuban	RS Umum Daerah R. Ali Manshur	Jl. Raya Timur No. 131 Jatirogo Tuban	RS Umum Daerah R. Ali Manshur Tuban	RS	Umum	Daerah	R.	Ali	Manshur	Tuban					
Kota Sukabumi	RS Umum Daerah R. Syamsudin, SH	Jl. Rumah Sakit No. 1 Kota Sukabumi	RS Umum Daerah R. Syamsudin, SH Kota Sukabumi	RS	Umum	Daerah	R.	Syamsudin,	SH	Kota	Sukabumi				
Purworejo	RS Umum Daerah R.A.A Tjokronegoro	Jl. Soekarno-Hatta No. 12 desa Borokulon Kec. Banyuurip	RS Umum Daerah R.A.A Tjokronegoro Purworejo	RS	Umum	Daerah	R.A.A	Tjokronegoro	Purworejo						
Pati	RS Umum Daerah RAA Soewondo	Jl. Dr Soesanto No. 114	RS Umum Daerah RAA Soewondo Pati	RS	Umum	Daerah	RAA	Soewondo	Pati						
Kota Jambi	RS Umum Daerah Raden Mattaher Jambi	Jl. Letjen Suprapto no. 31 Jambi	RS Umum Daerah Raden Mattaher Jambi Kota Jambi	RS	Umum	Daerah	Raden	Mattaher	Jambi	Kota	Jambi				
Mesuji	RS Umum Daerah Ragab Begawe Caram	Jl. ZA. Pagar Alam Brabasan Kec. Tanjung Raya	RS Umum Daerah Ragab Begawe Caram Mesuji	RS	Umum	Daerah	Ragab	Begawe	Caram	Mesuji					
Muna	RS Umum Daerah Raha	Jl. Ahmad yani raha no 10 Raha	RS Umum Daerah Raha Muna	RS	Umum	Daerah	Raha	Muna							
Labuhan Batu	RS Umum Daerah Rantau Prapat	Jl KH Dewantara 129, Rantau Prapat	RS Umum Daerah Rantau Prapat Labuhan Batu	RS	Umum	Daerah	Rantau	Prapat	Labuhan	Batu					
Banjar	RS Umum Daerah Ratu Zalecha	Jl Menteri Empat Martapura Kabupaten Banjar Kalimantan Selatan	RS Umum Daerah Ratu Zalecha Banjar	RS	Umum	Daerah	Ratu	Zalecha	Banjar						
Rote Ndao	RS Umum Daerah Rote Ndao Ba'a	Jl. Ba'a-Busalangga, Kab. Rote Ndao	RS Umum Daerah Rote Ndao Ba'a Rote Ndao	RS	Umum	Daerah	Rote	Ndao	Ba'a	Rote	Ndao				
Musi Rawas Utara	RS Umum Daerah Rupit Kabupaten Musi Rawas Utara	Jl.Kesehatan No.1 desa lawang agung kec. Rupit	RS Umum Daerah Rupit Kabupaten Musi Rawas Utara Musi Rawas Utara	RS	Umum	Daerah	Rupit	Kabupaten	Musi	Rawas	Utara	Musi	Rawas	Utara	
Kota Kupang	RS Umum Daerah S. K. Lerik	Jl. Timor Raya Pasir No. 134 Kelurahan Pasir Panjang	RS Umum Daerah S. K. Lerik Kota Kupang	RS	Umum	Daerah	S.	K.	Lerik	Kota	Kupang				
Kota Sabang	RS Umum Daerah Sabang	Jl. Teuku Umar Sabang	RS Umum Daerah Sabang Kota Sabang	RS	Umum	Daerah	Sabang	Kota	Sabang						
Sukabumi	RS Umum Daerah Sagaranten	Kp. Cigadog RT. 025 RW. 006 Desa Sagaranten Kec. Sagaranten	RS Umum Daerah Sagaranten Sukabumi	RS	Umum	Daerah	Sagaranten	Sukabumi							
Pakpak Bharat	RS Umum Daerah Salak	Jl Raja David, Kab.Pakpak Bharat	RS Umum Daerah Salak Pakpak Bharat	RS	Umum	Daerah	Salak	Pakpak	Bharat						
Kota Salatiga	RS Umum Daerah Salatiga	Jl. Osamaliki No.19,Salatiga	RS Umum Daerah Salatiga Kota Salatiga	RS	Umum	Daerah	Salatiga	Kota	Salatiga						
Sambas	RS Umum Daerah Sambas	Jl. Pendidikan no 300 Kecamatan Sambas	RS Umum Daerah Sambas Sambas	RS	Umum	Daerah	Sambas	Sambas							
Kepulauan Sula	RS Umum Daerah Sanana	Jl. Dr. Sibarani - Desa Falahu Kecamatan Sanana Kabupaten Kep. Sula	RS Umum Daerah Sanana Kepulauan Sula	RS	Umum	Daerah	Sanana	Kepulauan	Sula						
Gianyar	RS Umum Daerah Sanjiwani Gianyar	Jl. Ciung Wenara No.2 Gianyar	RS Umum Daerah Sanjiwani Gianyar Gianyar	RS	Umum	Daerah	Sanjiwani	Gianyar	Gianyar						
Gunung Kidul	RS Umum Daerah Saptosari	Karang Jetis Saptosari Gunungkidul	RS Umum Daerah Saptosari Gunung Kidul	RS	Umum	Daerah	Saptosari	Gunung	Kidul						
Kota Jakarta Pusat	RS Umum Daerah Sawah Besar	Jl. Dwi Warna Raya No. 6-8	RS Umum Daerah Sawah Besar Kota Jakarta Pusat	RS	Umum	Daerah	Sawah	Besar	Kota	Jakarta	Pusat				
Kota Sawah Lunto	RS Umum Daerah Sawah Lunto	Jl. RA. Kartini No.18, Sawah Lunto	RS Umum Daerah Sawah Lunto Kota Sawah Lunto	RS	Umum	Daerah	Sawah	Lunto	Kota	Sawah	Lunto				
Kota Palopo	RS Umum Daerah Sawerigading	Jl. Dr. Ratulangi KM.7 Rampoang Kota Palopo	RS Umum Daerah Sawerigading Kota Palopo	RS	Umum	Daerah	Sawerigading	Kota	Palopo						
Cianjur	RS Umum Daerah Sayang	Jl. Rumah Sakit No.1 Cianjur	RS Umum Daerah Sayang Cianjur	RS	Umum	Daerah	Sayang	Cianjur							
Bangka Barat	RS Umum Daerah Sejiran Setason	Jl. Kadur Dalam, Ds Belo Laut Kecamatan Muntok	RS Umum Daerah Sejiran Setason Bangka Barat	RS	Umum	Daerah	Sejiran	Setason	Bangka	Barat					
Sukabumi	RS Umum Daerah Sekarwangi	Jl. Siliwangi No. 49 Cibadak Sukabumi	RS Umum Daerah Sekarwangi Sukabumi	RS	Umum	Daerah	Sekarwangi	Sukabumi							
Musi Banyuasin	RS Umum Daerah Sekayu	Jl. Kol. Wahid Udin Lingkungan I Kel. Kayuara Kec. Sekayu Kab.Musi Banyuasin	RS Umum Daerah Sekayu Musi Banyuasin	RS	Umum	Daerah	Sekayu	Musi	Banyuasin						
Kota Sorong	RS Umum Daerah Sele Be Solu	Jl Selebesolu II No. 1 Km 12 Klawalu Kota Sorong	RS Umum Daerah Sele Be Solu Kota Sorong	RS	Umum	Daerah	Sele	Be	Solu	Kota	Sorong				
Kota Tangerang Selatan	RS Umum Daerah Serpong Utara	Jl. Raya Serpong Kel. Pakulonan Kec. Serpong Utara	RS Umum Daerah Serpong Utara Kota Tangerang Selatan	RS	Umum	Daerah	Serpong	Utara	Kota	Tangerang	Selatan				
Dairi	RS Umum Daerah Sidikalang	Jl Rumah Sakit No 19, Sidikalang	RS Umum Daerah Sidikalang Dairi	RS	Umum	Daerah	Sidikalang	Dairi							
Sidoarjo	RS Umum Daerah Sidoarjo	Jalan Mojopahit No. 667 Sidoarjo	RS Umum Daerah Sidoarjo Sidoarjo	RS	Umum	Daerah	Sidoarjo	Sidoarjo							
Simeulue	RS Umum Daerah Simeulue	Jl. Teuku Raja Mahmud Desa Amiria Bahagia Kecamatan Simeulue Timur	RS Umum Daerah Simeulue Simeulue	RS	Umum	Daerah	Simeulue	Simeulue							
Kediri	RS Umum Daerah Simpang Lima Gumul Kediri	Jl. Galuh Candra Kirana Desa Tugurejo Kecamatan Ngasem Kabupaten Kediri 
	RS Umum Daerah Simpang Lima Gumul Kediri Kediri	RS	Umum	Daerah	Simpang	Lima	Gumul	Kediri	Kediri				
Tasikmalaya	RS Umum Daerah Singaparna Medika Citrautama	Jl. Rancamaya Singaparna, Tasikmalaya	RS Umum Daerah Singaparna Medika Citrautama Tasikmalaya	RS	Umum	Daerah	Singaparna	Medika	Citrautama	Tasikmalaya					
Kota Palembang	RS Umum Daerah Siti Fatimah Provinsi Sumatera Sela	Jl. Kol. H. Burlian Km 6	RS Umum Daerah Siti Fatimah Provinsi Sumatera Sela Kota Palembang	RS	Umum	Daerah	Siti	Fatimah	Provinsi	Sumatera	Sela	Kota	Palembang		
Wajo	RS Umum Daerah Siwa	Jl. Andi Djaja No.1 Kec. Pitumpanua, Siwa, Kab. Wajo	RS Umum Daerah Siwa Wajo	RS	Umum	Daerah	Siwa	Wajo							
Bangka	RS Umum Daerah Sjafrie Rachman Puding Besar	Jl. Raya Sungailiat Mentok Desa Puding Besar kecamatan Puding Besar	RS Umum Daerah Sjafrie Rachman Puding Besar Bangka	RS	Umum	Daerah	Sjafrie	Rachman	Puding	Besar	Bangka				
Sleman	RS Umum Daerah Sleman	Jl Bhayangkara 48 Triharjo Sleman Daerah Istimewa Yogyakarta, 55514	RS Umum Daerah Sleman Sleman	RS	Umum	Daerah	Sleman	Sleman							
Sleman	RS Umum Daerah Sleman	Jl Bhayangkara 48 Triharjo Sleman Daerah Istimewa Yogyakarta, 55514	RS Umum Daerah Sleman Sleman	RS	Umum	Daerah	Sleman	Sleman							
Bandung	RS Umum Daerah Soreang	Jl. Alun-Alun Utara No. 1 Soreang	RS Umum Daerah Soreang Bandung	RS	Umum	Daerah	Soreang	Bandung							
Blitar	RS Umum Daerah Srengat Kab. Blitar	Jl. Raya Dandong RT. 02/RW. 03 Kec. Srengat	RS Umum Daerah Srengat Kab. Blitar Blitar	RS	Umum	Daerah	Srengat	Kab.	Blitar	Blitar					
Subang	RS Umum Daerah Subang	Jl. Brigjen Katamso No. 37 Ciereng	RS Umum Daerah Subang Subang	RS	Umum	Daerah	Subang	Subang							
Lampung Timur	RS Umum Daerah Sukadana	Jl. Letnan Adnan Sanjaya,Lintas Timur,Sukadana,Lamp.Timur	RS Umum Daerah Sukadana Lampung Timur	RS	Umum	Daerah	Sukadana	Lampung	Timur						
Aceh Timur	RS Umum Daerah Sultan Alaiddin Said Maulana Abdul	Jl. Monisa Desa Lhok Dalam Kecamatan Peureulak Kabupaten Aceh Timur	RS Umum Daerah Sultan Alaiddin Said Maulana Abdul Aceh Timur	RS	Umum	Daerah	Sultan	Alaiddin	Said	Maulana	Abdul	Aceh	Timur		
Demak	RS Umum Daerah Sultan Fatah Karangawen Demak	Jl. Raya Semarang Purwodadi KM. 21 No. 107 Karangawen Demak	RS Umum Daerah Sultan Fatah Karangawen Demak Demak	RS	Umum	Daerah	Sultan	Fatah	Karangawen	Demak	Demak				
Kotawaringin Barat	RS Umum Daerah Sultan Imanuddin	Jl. Sutan Syahrir No 17 Pangkalan Bun	RS Umum Daerah Sultan Imanuddin Kotawaringin Barat	RS	Umum	Daerah	Sultan	Imanuddin	Kotawaringin	Barat					
Serdang Bedagai	RS Umum Daerah Sultan Sulaiman Syariful Alamsyah	Kabupaten Serdang Bedagai	RS Umum Daerah Sultan Sulaiman Syariful Alamsyah Serdang Bedagai	RS	Umum	Daerah	Sultan	Sulaiman	Syariful	Alamsyah	Serdang	Bedagai			
Kota Banjarmasin	RS Umum Daerah Sultan Suriansyah Banjarmasin	Jl. Rantauan Darat RT. 04 RW. 01 Kel. Kelayan Selatan, Kec. Banjarmasin Selatan	RS Umum Daerah Sultan Suriansyah Banjarmasin Kota Banjarmasin	RS	Umum	Daerah	Sultan	Suriansyah	Banjarmasin	Kota	Banjarmasin				
Kota Pontianak	RS Umum Daerah Sultan Syarif Mohammad Alkadrie	Jl. Komodor Yos Sudarso Pontianak	RS Umum Daerah Sultan Syarif Mohammad Alkadrie Kota Pontianak	RS	Umum	Daerah	Sultan	Syarif	Mohammad	Alkadrie	Kota	Pontianak			
Kota Pontianak	RS Umum Daerah Sultan Syarif Mohammad Alkadrie	Jl. Komodor Yos Sudarso Pontianak	RS Umum Daerah Sultan Syarif Mohammad Alkadrie Kota Pontianak	RS	Umum	Daerah	Sultan	Syarif	Mohammad	Alkadrie	Kota	Pontianak			
Tebo	RS Umum Daerah Sultan Thaha Saifuddin	Jl. Sultan Thaha Saifuddin KM. 04 Muara Tebo	RS Umum Daerah Sultan Thaha Saifuddin Tebo	RS	Umum	Daerah	Sultan	Thaha	Saifuddin	Tebo					
Bojonegoro	RS Umum Daerah Sumberrejo	Jl. Raya No. 231 Sumberrejo, Bojonegoro	RS Umum Daerah Sumberrejo Bojonegoro	RS	Umum	Daerah	Sumberrejo	Bojonegoro							
Sumedang	RS Umum Daerah Sumedang	Jl. Prabu Geusan Ulun No 41 Jl. Palasari No. 80 Kabupaten Sumedang	RS Umum Daerah Sumedang Sumedang	RS	Umum	Daerah	Sumedang	Sumedang							
Demak	RS Umum Daerah Sunan Kalijaga	Jl. Sultan Fatah No. 669/50,Demak	RS Umum Daerah Sunan Kalijaga Demak	RS	Umum	Daerah	Sunan	Kalijaga	Demak						
Muaro Jambi	RS Umum Daerah Sungai Bahar	Jl. Soekarno Hatta Desa Suka Makmur Kecamatan Sungai Bahar Kabupaten Muaro Jambi	RS Umum Daerah Sungai Bahar Muaro Jambi	RS	Umum	Daerah	Sungai	Bahar	Muaro	Jambi					
Tegal	RS Umum Daerah Suradadi	Jl. Raya Tegal-Pemalang KM.12	RS Umum Daerah Suradadi Tegal	RS	Umum	Daerah	Suradadi	Tegal							
Tanjung Jabung Barat	RS Umum Daerah Suryah Khairuddin	Jl. Lintas Timur Kec. Merlung, Kab. Tanjung Jabung Barat	RS Umum Daerah Suryah Khairuddin Tanjung Jabung Barat	RS	Umum	Daerah	Suryah	Khairuddin	Tanjung	Jabung	Barat				
Bangkalan	RS Umum Daerah Syarifah Ambami Rato Ebu	Jl. Pemuda Kaffa No. 9 Bangkalan	RS Umum Daerah Syarifah Ambami Rato Ebu Bangkalan	RS	Umum	Daerah	Syarifah	Ambami	Rato	Ebu	Bangkalan				
Gowa	RS Umum Daerah Syehk Yusuf Gowa	Jl. Dr. Wahidin Sudirohusodo No.48 Sungguminasa Kabupaten Gowa	RS Umum Daerah Syehk Yusuf Gowa Gowa	RS	Umum	Daerah	Syehk	Yusuf	Gowa	Gowa					
Pidie	RS Umum Daerah TGK Chik Ditiro Sigli	Jl. Prof. A. Majid Ibrahim Sigli	RS Umum Daerah TGK Chik Ditiro Sigli Pidie	RS	Umum	Daerah	TGK	Chik	Ditiro	Sigli	Pidie				
Tabanan	RS Umum Daerah Tabanan	Jl. Pahlawan No. 14 Tabanan	RS Umum Daerah Tabanan Tabanan	RS	Umum	Daerah	Tabanan	Tabanan							
